I
810

4     10.81394000  106.63423800     33 11050  27     249.010 HCM   VVTS ILS/DME 25R
4     10.81131100  106.63678400     33 10830  27     249.010 SGN   VVTS ILS/DME 25L
6     10.82486100  106.66012200     33 11050  27  300249.010 ---   VVTS ILS/DME 25R
6     10.82344700  106.66663000     33 10830  27  300249.010 ---   VVTS ILS/DME 25L
12    10.82486100  106.66012200     33 11050  27       0.000 HCM   VVTS ILS/DME 25R
12    10.81131100  106.63678400     33 10830  27       0.000 SGN   VVTS ILS/DME 25L
