I
810

4     10.17146900  103.97668100     22 10870  10     275.800 IPH   VVPQ ILS/DME 28
4     10.16820000  104.00951600     22 10810  13      95.800 IPQ   VVPQ ILS/DME 10
6     10.16785100  104.00383700     22 10870  10  300275.800 ---   VVPQ ILS/DME 28
6     10.17180700  103.98235900     22 10810  13  300095.800 ---   VVPQ ILS/DME 10
12    10.17146900  103.97668100     22 10870  10       0.000 IPH   VVPQ ILS/DME 28
12    10.16819900  104.00951500     22 10810  13       0.000 IPQ   VVPQ ILS/DME 10
